"fecha","hora_inicio","hora_fin","modalidad","participantes_nombre_usuario","ruta_artefacto","decisiones_tomadas","commits_producidos","tipo_sesion","tipo","ruta_nota_campo"
"2026-09-02","21:00","01:00","Virtual (videollamada/chat de WhatsApp)","ptigasis-Alexander","ver commits","Eliminación completa de la carpeta de práctica independiente PE5_U5 (Unidad V, PE5_U5_PFC_DIAZ_GAMARRA_HERRERA_TIGASI_TRUJILLO) del repositorio, conforme a la Guía de Desarrollo del 02/09/2026.","25c67bd; 2c7243e; 3c12922; 58962fb; 64fbd71; 856a105; 97a9ade; 9ab06ee; 9b79916; af36a20; d6544c7; d791ee3; e2da1d7","N/A — sesión de trabajo interno del equipo (programación, organización, redacción); no es una sesión de elicitación ni de validación con participante externo","trabajo_interno","N/A"
"2026-09-03","21:00","01:00","Virtual (videollamada/chat de WhatsApp)","ptigasis-Alexander","ver commits","Migración de la evidencia audiovisual restringida a GitHub Release; renombrado del script de checksums (GENERA_CHEDKSUMS.sh); construcción completa de la estructura 07_Datos (datos_crudos, datos_procesados, resultados) con script orquestador generar_paquete_datos.py; eliminación de la matriz de trazabilidad duplicada; creación de .mailmap atribuyendo los 8 commits de 'MediCita Team' a Thais Melanie Herrera Ramos.","0ffee8c; 5d96d0d; fb914ca","N/A — sesión de trabajo interno del equipo (programación, organización, redacción); no es una sesión de elicitación ni de validación con participante externo","trabajo_interno","N/A"
"2026-09-04","21:00","01:00","Virtual (videollamada/chat de WhatsApp)","DIAZ PONTON STEVEN; Jami1405","ver commits","Corrección de rutas de diagramas UML; renombrado de fotos de entorno conservando metadatos EXIF; subida de fotos con metadatos originales preservados.","114b147; e94e82b; 1657471; 5d81fc1; f322197; 0aa9fbf; e0c7dc6; b69985b; 14ce6e9; da7ee96","N/A — sesión de trabajo interno del equipo (programación, organización, redacción); no es una sesión de elicitación ni de validación con participante externo","trabajo_interno","N/A"
"2026-09-05","21:00","01:00","Virtual (videollamada/chat de WhatsApp)","DIAZ PONTON STEVEN; Jami1405; Thais Melanie Herrera Ramos; mtrujillov-sys; ptigasis-Alexander","ver commits","Actualización de 02_Evidencias, 00_Restringido y Capturas con detalles del proyecto; documentación de notas de campo manuscritas; creación del índice README de 10_Autoria; creación de referencia de categorías para doble codificación.","589a924; fa7c7b0; 2f48656; 8214e4f; c96803e; e7c8f92; 7b6e8d5; 704405d; a3cb622; 1e9cc49; 4152573; 0a908a7; c674e69; dc80b86; cc51bc3; 78ed619; 7f80dd3; ae2af67; 7785481; 8197797; 328f9ea; 1d68aaa; 8de85b4; 7dad171; 8363d4b; a0d32a3; 7d0cb85; 4a5184c; b9da738; 59005b5; 1b551ae; b6aaddf; 11d78cd; 1452062; 9694b1f; 8f2d54d; ccca387; 1f21d78; deafb76; f7c86d3; fa0ca31; f1d4a6a; 90e66f9; 3d1558d; 3dea09f; 00e7945; f2b6b39; 421e2df; 676ca57; a7a2ccf; 8251ea4; ee1def1; e7bdd48; 087de51; 23fae6d; 1d7cac1; 574d868; ced9f4b; 9ac74b0; 8445b9f; c0228ba; d5d77a3; 36ca0d8; e2fa4dc; b2cd91b; 1cbe94b; 812d6e4; 38b97cb; c378d2e; 697f3b9; 32c66ed; 739de85; 5091a33; 80c5cda; 028ebd5; f03ce01; cec0e33; d06eaa6; ba80d55; 3b3e73b; 5fbb6e6; d5bc462; c6f4524; 1cfd17a; 05f0050; 67b3145; 3d7fd1e; ae5963a; cd5994a; f6bf312; 4b0123a; 2b40680; 40b0027; cc5ec85","N/A — sesión de trabajo interno del equipo (programación, organización, redacción); no es una sesión de elicitación ni de validación con participante externo","trabajo_interno","N/A"
"2026-09-06","21:00","01:00","Virtual (videollamada/chat de WhatsApp)","DIAZ PONTON STEVEN; Thais Melanie Herrera Ramos; mtrujillov-sys; ptigasis-Alexander","ver commits","Registro de datos de Member Checking (matriz y resumen); creación del guion de Member Checking; actualización de estado de capturas y del README general; cambio de estado de cumplimiento de ptigasis; renombrado de 05_MVP_.md a Readme.md.","803414d; 805afea; e3d7df5; 9884948; 789fe8d; c4c4688; f5e5241; 36f275e; 3d2c607; 150a47c; b02e621; cbc1ed3; e7b7aad; e6617d6; 6bda055; f7761b6; c408942; f5656c2; 97c68c7; 31de26e; 94ced66; 30b0d52; 6a4695e; 86bb2a8","N/A — sesión de trabajo interno del equipo (programación, organización, redacción); no es una sesión de elicitación ni de validación con participante externo","trabajo_interno","N/A"
"2026-09-07","21:00","01:00","Virtual (videollamada/chat de WhatsApp)","DIAZ PONTON STEVEN; Jami1405; Thais Melanie Herrera Ramos; mtrujillov-sys; ptigasis-Alexander","ver commits","Corrección final del manuscrito y del guion/presentación de defensa (integración de Kappa y member checking); aclaración de roles de participantes en la validación walkthrough; firmas y fechas de los 5 integrantes en aporte_individual.md y declaración de uso de IA; revisión del conteo de commits y de contribuciones individuales.","384b321; 5d77467; 54917ee; 366f7e7; 8badab3; 6edf490; b0483b1; c338fba; f4d67c1; ccadefe; 48a7abf; cf188d0; 756d385; 53a617b; a935c82; 692f051; 68232ae; 827cdb0; 8b75142; 51b35b5; fab33e4; 3cf4c7c; 0a4465f; 09646c3; 0015688; 1b068ac; e4ff608; f0211af; 9f28830; dc9ce38; 86a2be3; fb25565; cc797b4; 3820864; bc3cca0; 4bb7502; 220ec0b; 479b8d4; 6a5846e; 7368102","N/A — sesión de trabajo interno del equipo (programación, organización, redacción); no es una sesión de elicitación ni de validación con participante externo","trabajo_interno","N/A"
"2026-09-08","21:00","01:00","Virtual (videollamada/chat de WhatsApp)","DIAZ PONTON STEVEN; Jami1405; Thais Melanie Herrera Ramos; mtrujillov-sys","ver commits","Renombrado uniforme de todos los índices de carpeta a Readme.md (01_ERS, 03_Modelado, 04_Trazabilidad, 06_Experimento, Codificacion_Tematica, Consentimientos, Cuestionario, Documentos_Organizacion, Validacion_Walkthrough, Fotos_Aplicacion, 07_Datos); actualización de desviaciones.md y registro_deposito.md; nota de reubicación de instrumentos hacia 07_Datos/datos_crudos/; corrección de formato de badge de estado.","b91fb94; e189e2b; 343f696; 32fa85b; e5a694b; 5d2762b; 76b5442; 682c466; ee8d47e; 7bef9fe; 96fa5e3; 3de5391; 5f83dd9; 25d8ff7; 986b492; fa4c31e; d663815; ff80bf5; 2a81d38; d3b1c08; ab40d11; ff3e542; bf57f02; bf098c0; 70422d3; 20943bb; eae6db7; 45915dd; 39e94a2; 469f633; 8cea3c0; 280729c","N/A — sesión de trabajo interno del equipo (programación, organización, redacción); no es una sesión de elicitación ni de validación con participante externo","trabajo_interno","N/A"
"2026-09-09","21:00","23:00","Virtual (videollamada/chat de WhatsApp)","mtrujillov-sys; Thais Melanie Herrera Ramos; Jami1405","ver commits","Firma de verificación previa completada; verificación firmada; primeras cargas de archivos del cierre final.","8541d63; 6b4f080; 0d06f45","N/A — sesión de trabajo interno del equipo (programación, organización, redacción); no es una sesión de elicitación ni de validación con participante externo","trabajo_interno","N/A"
"2026-09-10","20:00","22:00","Virtual (videollamada/chat de WhatsApp)","Jami1405; mtrujillov-sys; Thais Melanie Herrera Ramos; DIAZ PONTON STEVEN","ver commits","Actualización del identificador SWHID y del estado y detalle de Software Heritage; actualización del CHANGELOG con incidencias resueltas; nota sobre restricciones de datos y detalles de verificación.","f2bf408; 4d87c34; 055fd88; eea4e93; 4df89a8","N/A — sesión de trabajo interno del equipo (programación, organización, redacción); no es una sesión de elicitación ni de validación con participante externo","trabajo_interno","N/A"
"2026-09-11","19:00","23:30","Virtual (videollamada/chat de WhatsApp)","DIAZ PONTON STEVEN; mtrujillov-sys; Thais Melanie Herrera Ramos; Jami1405; ptigasis-Alexander","ver commits","Cierre final previo a la defensa (primera mitad): perfil agregado de participantes y su resumen en el README de datos; doble observación independiente de sesiones de validación (VAL-MG, VAL-ENF) y cambio de color de badges del resultado; corrección de ERS y de generar_paquete_datos.py; columna de duración y cambio de delimitador en ficha_observacion.csv; corrección de filas de la matriz de trazabilidad; renombrado de README.md a README_datos.md; documentación de la separación entre capa pública y restringida; actualización de conteos de commits; cambio de estado del proyecto a 'Completo'.","b426a5a; 053ff44; aef1979; c9f7bac; 3df3c25; 73f7e5e; e6823b4; a0ffab4; 3c5dc82; e7bf9c7; 2e43734; 2e7482a; bd725bc; 0b85864; 01e35c9; d69d786; 97d1a6f; 6129d8c; b344c8a; c7f0ec6; 0d67bb9; aa449ce; 5245d94; cdb9a51; 070e263; fcf249a; 5828685; ba9924d; 1ea4502; e21bae3; 2ce649c","N/A — sesión de trabajo interno del equipo (programación, organización, redacción); no es una sesión de elicitación ni de validación con participante externo","trabajo_interno","N/A"
"2026-09-12","08:00","18:30","Virtual (videollamada/chat de WhatsApp)","DIAZ PONTON STEVEN; mtrujillov-sys; Jami1405; Thais Melanie Herrera Ramos; ptigasis-Alexander","ver commits","Cierre final previo a la defensa (segunda mitad): reparación del fragmento roto de evidencia audiovisual; sección de alcance del componente de IA en el ERS/SRS; RNF-21 y RNF-22 (supervisión humana y clasificación de riesgo); reescritura de RNF-19 (equidad) sobre RF-16; corrección de bug de compilación del ERS; corrección de dos fragmentos de código incompletos en script.js del MVP; finalidad y plazo de conservación en el documento LOPDP; actualización de guion, PPT, folleto y video de defensa; corrección de formato de diccionario_datos.csv; firmas y fechas actualizadas de los 5 integrantes (extensión de la sesión): división de run_all.py en leer_datos.py, procesar_datos.py y generar_resultados.py (ítem A4); redacción del contenido real de 12 archivos de 1 byte (scripts_analisis_.md, prompts_LLm_.md y 9 README.md de 03_Modelado); actualización de resultados_.md y de conteos de commits en los reportes (segunda extensión): construcción de generar_procesados.py para que la cadena de análisis arranque desde el dato crudo real; adición de 16 filas faltantes en ficha_observacion.csv (sesiones VAL-PSI y VAL-PAC02); corrección de power_calculation_justificacion.md para no atribuir el cálculo de potencia al prerregistro OSF; eliminación del índice vacío scripts_analisis_.md; actualización de README, CHANGELOG y firmas.","850b6a2; dfee315; 83314cd; b318a54; 031719f; 9151b42; 0433806; 954608e; be95cde; e6bec4a; 4a773d4; c6f392e; be028b8; 4476d6e; 8918e65; bf07412; 90e1768; a4d3b64; 79b6e02; ec5cb53; 03e6868; ed89c58; 8c1510c; 5f1e377; 95799af; 64788c2; 4bec3d8; 8d8ff0f; 3fe4f1f; 44c2024; 9dcabd1; df916d7; 6e1070f; 655498c; e270ad3; 6aee4ed; bd7714f; 218fc77; 9863a00; 29b31e2; d5cfdfb; 04dcce1; f8b4164; 8e488a5; b62da4e; f90b1b6; 5e0b0c8; d32965a; 48dd7e6; 2846ec8; e2ce98e; 2cfae96; 0c00a36; f8e85db; a51b580; 8b2bd46; f7beedc","N/A — sesión de trabajo interno del equipo (programación, organización, redacción); no es una sesión de elicitación ni de validación con participante externo","trabajo_interno","N/A"
"2026-09-13","06:43","08:05","Virtual (chat de WhatsApp)","Jami1405; Thais Melanie Herrera Ramos; mtrujillov-sys; ptigasis-Alexander","ver commits","Actualización de la fila 75 de la matriz de trazabilidad y del changelog; revisión de RNF y trazabilidad; regeneración de checksums.sha256 sobre el PDF final del ERS; .gitattributes para proteger binarios; corrección de hashes desactualizados de los consentimientos.","f49bedb; a440385; 214d935; f2ef667; 38ac457; 14e04d5; 9b5c9e3; ef9b65a; f4c1f2e; 8d4a469; 7ba3b56; a27f36d","N/A — sesión de trabajo interno del equipo (programación, organización, redacción); no es una sesión de elicitación ni de validación con participante externo","trabajo_interno","N/A"
"2026-09-13","17:58","18:46","Virtual (chat de WhatsApp)","DIAZ PONTON STEVEN; Jami1405; Thais Melanie Herrera Ramos; mtrujillov-sys; ptigasis-Alexander","ver commits","Actualización de formato del README; revisión de la tabla de aporte/participación; firmas y fechas de la declaración de uso de IA; commit de cierre de esta ronda (ce254a8, evaluado por el docente).","299cc2d; b27a917; 8ec82fc; de5b3c9; 8d11aea; ff76033; d56a23b; ea68b60; 323de86; ce254a8","N/A — sesión de trabajo interno del equipo (programación, organización, redacción); no es una sesión de elicitación ni de validación con participante externo","trabajo_interno","N/A"
"2026-09-14","16:09","20:17","Virtual (chat de WhatsApp)","DIAZ PONTON STEVEN; Jami1405; Thais Melanie Herrera Ramos; mtrujillov-sys; ptigasis-Alexander","ver commits","Aclaración metodológica de la V de Cramér en los resultados; corrección de nomenclatura de una captura; aclaración sobre visibilidad de integrantes en fotos de evaluación y sobre el proceso de anonimización de consentimientos; creación de la referencia de fuentes editables (A3); actualización de la URL del repositorio en README y README internos tras la transferencia de propiedad; renombrado de ERS_SRS_2A a mayúscula V y eliminación de la versión anterior; corrección de enlaces rotos de GitHub Pages; regeneración de checksums.sha256.","46c8f0c; e60fadb; 740ff12; 4f965d8; 47ddaf1; fdf3b4c; 462c222; 4ecf945; 678595d; cc9dbcf; 68aac87; a23cefa; 7ed3d38; 08209a2; c6bc694; d077c75; ffe2be9; 21b908c; 6a5f862; 99f6176; 6b652f5; 41ee5b9; 96b9138; f72ea6f; aaf0ca7; aea6ea8; bc1ef10; 4d728d3; 4d94781; d29c7ff; 161cfe4; f11d17a; a6fae1a; f9ab723; 6c80bfd; 64ffc28; 6e014c8; 471bec7; e6da57a; 1b93205; 1124816; e94cb95; fd2326f; 0525b55; d347da7","N/A — sesión de trabajo interno del equipo (programación, organización, redacción); no es una sesión de elicitación ni de validación con participante externo","trabajo_interno","N/A"
"2026-06-04","09:46am","09:53am","Presencial","Paul Alexander Tigasi Sampedro (entrevista); Jamileth Estefanía Gamarra Zárate (toma de notas)","N/A","Se considera necesario centralizar la historia clínica en un sistema digital que permita consultar y actualizar la información de los pacientes de manera rápida y controlada.","1d68aaabf9b32aa7bf0d1999716f40856dca35de","Sesión de campo con participante externo (entrevista de elicitación P01 — Psicología)","entrevista","10_Autoria/notas_campo/2026-06-04_P01_psicologia_notas-campo.pdf"
"2026-06-04","10:06am","10:23am","Presencial","Paul Alexander Tigasi Sampedro (entrevista); Jamileth Estefanía Gamarra Zárate (toma de notas)","N/A","Se considera importante implementar un expediente clínico electrónico que permita registrar la evolución y los datos relevantes de cada sesión.","81977974db27620f4e0499408177fe24505cd3a6","Sesión de campo con participante externo (entrevista de elicitación P03 — Terapia Física)","entrevista","10_Autoria/notas_campo/2026-06-04_P03_terapia-fisica_notas-campo.pdf"
"2026-06-04","09:53am","10:06am","Presencial","Paul Alexander Tigasi Sampedro (entrevista); Jamileth Estefanía Gamarra Zárate (toma de notas)","N/A","El sistema debe permitir compartir información básica del paciente entre áreas y mantener un espacio específico para el seguimiento.","778548147383f2bc6ff71035c18228c2d8fed6a0","Sesión de campo con participante externo (entrevista de elicitación P04 — Nutrición)","entrevista","10_Autoria/notas_campo/2026-06-04_P04_nutricion_notas-campo.pdf"
"2026-06-04","09:25am","09:46am","Presencial","Paul Alexander Tigasi Sampedro (entrevista); Jamileth Estefanía Gamarra Zárate (toma de notas)","N/A","Se identificó una alta dependencia de fichas físicas y diferentes medios de almacenamiento, además de dificultades para coordinar información con otras áreas.","ae2af675e835bfe77312dfe57013aff9739df584","Sesión de campo con participante externo (entrevista de elicitación P05 — Odontología)","entrevista","10_Autoria/notas_campo/2026-06-04_P05_odontologia_notas-campo.pdf"
"2026-06-05","10:23am","10:35am","Presencial","Thais Melanie Herrera Ramos (entrevista); Jamileth Estefanía Gamarra Zárate (toma de notas)","N/A","(No se registró una conclusión explícita de análisis del equipo en esta nota; ver hallazgos.)","328f9ea1f9bb822d7b716ce6ea7f559267f2934a","Sesión de campo con participante externo (entrevista de elicitación P02 — Medicina General)","entrevista","10_Autoria/notas_campo/2026-06-05_P02_medicina-general_notas-campo.pdf"
"2026-07-07","13:37pm","13:57pm","Presencial","Mayummy Jailly Trujillo Vega (entrevista); Jamileth Estefanía Gamarra Zárate (toma de notas)","N/A","Se considera viable incorporar el registro de enfermería dentro de una historia clínica electrónica integrada y utilizar la cédula como mecanismo de búsqueda del paciente.","7f80dd35863bfb28a76b73474e01540f56c3409c","Sesión de campo con participante externo (entrevista de elicitación P06 — Enfermería)","entrevista","10_Autoria/notas_campo/2026-07-07_P06_enfermeria_notas-campo.pdf"
"2026-07-07","13:30pm","13:37pm","Presencial","Mayummy Jailly Trujillo Vega (entrevista); Jamileth Estefanía Gamarra Zárate (toma de notas)","N/A","El sistema debe facilitar el registro inicial del paciente y su correcta derivación hacia el área correspondiente.","78ed6196174a540b5910215ae6202a29ebad1d24","Sesión de campo con participante externo (entrevista de elicitación P07 — Recepción/Recaudación)","entrevista","10_Autoria/notas_campo/2026-07-07_P07_recepcion-recaudacion_notas-campo.pdf"
